               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,             0.08128,            0.096834,          3.1101e-08,             0.74424,             0.62946,             0.68347,              0.2609,            0.075843,             0.11069,          3.1619e-08,           0.0086635,           0.0086635,           0.0086635
                  83,            0.079577,            0.089175,          3.1243e-08,             0.72821,             0.64345,              0.6891,              0.2506,            0.076451,             0.11007,          3.1428e-08,            0.008647,            0.008647,            0.008647
                  84,            0.081553,             0.10166,           3.098e-08,             0.74482,             0.66041,             0.70037,             0.25244,            0.077071,             0.11041,          3.0686e-08,           0.0086305,           0.0086305,           0.0086305
                  85,            0.079221,            0.094457,          3.0817e-08,             0.72767,             0.66676,             0.69159,             0.26261,            0.076338,             0.11002,          3.0738e-08,            0.008614,            0.008614,            0.008614
                  86,            0.078908,            0.090927,          3.0715e-08,             0.72421,             0.65278,             0.69265,             0.27213,            0.075626,             0.11194,          3.0869e-08,           0.0085975,           0.0085975,           0.0085975
                  87,            0.079254,            0.091644,          3.0831e-08,             0.68908,             0.62383,             0.65925,             0.23105,            0.078177,             0.11167,          3.1069e-08,            0.008581,            0.008581,            0.008581
                  88,            0.078481,            0.082172,          3.0902e-08,             0.67611,              0.6576,             0.67066,             0.25648,            0.076376,             0.11546,            3.07e-08,           0.0085645,           0.0085645,           0.0085645
                  89,            0.078219,            0.088061,          3.0759e-08,             0.74379,             0.65358,             0.69094,             0.27243,            0.077027,             0.10921,          3.0925e-08,            0.008548,            0.008548,            0.008548
                  90,            0.078121,            0.087541,          3.0692e-08,             0.76458,             0.65103,             0.69776,             0.26388,            0.076134,             0.11004,          3.0814e-08,           0.0085315,           0.0085315,           0.0085315
                  91,            0.079147,            0.096872,          3.0653e-08,             0.73474,             0.64701,             0.69163,             0.25492,            0.077409,             0.11078,          3.0825e-08,            0.008515,            0.008515,            0.008515
                  92,            0.077855,             0.10146,          3.0896e-08,             0.74696,             0.63602,             0.69927,              0.2639,            0.076937,             0.11195,          3.1187e-08,           0.0084985,           0.0084985,           0.0084985
                  93,             0.08192,             0.10013,           3.109e-08,             0.73071,             0.65166,             0.68116,             0.25157,            0.076711,              0.1115,          3.0978e-08,            0.008482,            0.008482,            0.008482
                  94,            0.080105,            0.086521,           3.083e-08,              0.7388,             0.64634,              0.6878,             0.25129,             0.07742,             0.11412,          3.1145e-08,           0.0084655,           0.0084655,           0.0084655
                  95,            0.079259,            0.096516,          3.0769e-08,             0.73037,             0.62289,             0.66584,             0.25534,            0.076687,              0.1138,          3.1002e-08,            0.008449,            0.008449,            0.008449
                  96,            0.080453,             0.10129,          3.0748e-08,              0.7435,             0.65947,             0.69681,             0.26483,            0.076047,             0.11331,          3.1188e-08,           0.0084325,           0.0084325,           0.0084325
                  97,            0.079364,            0.098744,          3.0746e-08,             0.73312,             0.67516,             0.70608,             0.26736,            0.075306,             0.11016,          3.1185e-08,            0.008416,            0.008416,            0.008416
                  98,            0.079416,            0.089228,          3.0745e-08,             0.70106,             0.63797,             0.66003,             0.25538,            0.076544,             0.11279,          3.1123e-08,           0.0083995,           0.0083995,           0.0083995
                  99,            0.077972,            0.093604,          3.0766e-08,             0.72647,             0.64259,             0.68737,             0.25213,            0.076279,             0.11339,           3.094e-08,            0.008383,            0.008383,            0.008383
                 100,            0.078285,            0.095803,          3.0734e-08,             0.70315,              0.6651,              0.6856,             0.25631,            0.075857,             0.11231,          3.0772e-08,           0.0083665,           0.0083665,           0.0083665
                 101,            0.078424,            0.091199,          3.0744e-08,             0.71087,             0.65103,             0.66856,             0.25129,            0.077191,             0.11305,           3.093e-08,             0.00835,             0.00835,             0.00835
                 102,            0.078169,            0.089185,          3.0448e-08,             0.72246,             0.65201,             0.67917,             0.25391,            0.075733,             0.11449,          3.0647e-08,           0.0083335,           0.0083335,           0.0083335
                 103,            0.075406,             0.08933,           3.081e-08,             0.72022,             0.62289,              0.6645,             0.25392,             0.07687,             0.11483,          3.0971e-08,            0.008317,            0.008317,            0.008317
                 104,            0.078495,            0.093094,          3.0293e-08,             0.72304,             0.65197,             0.69438,             0.26492,            0.075747,             0.11179,          3.0824e-08,           0.0083005,           0.0083005,           0.0083005
                 105,             0.07935,              0.0877,          3.0671e-08,             0.72101,             0.64728,             0.67792,              0.2628,            0.076094,             0.11086,          3.0707e-08,            0.008284,            0.008284,            0.008284
                 106,            0.077453,            0.087148,          3.0366e-08,             0.74913,             0.59944,             0.66905,             0.24289,            0.077315,              0.1167,          3.0966e-08,           0.0082675,           0.0082675,           0.0082675
                 107,            0.078178,            0.090363,          3.0632e-08,             0.71817,             0.66604,             0.69676,             0.25889,            0.075295,             0.11094,          3.0615e-08,            0.008251,            0.008251,            0.008251
                 108,            0.077013,            0.090238,          3.0621e-08,             0.73156,             0.65291,             0.69429,             0.26634,            0.075741,             0.11653,          3.1098e-08,           0.0082345,           0.0082345,           0.0082345
                 109,             0.07698,            0.090336,          3.0737e-08,             0.73775,             0.64916,             0.69222,             0.27038,            0.075575,             0.11487,          3.0918e-08,            0.008218,            0.008218,            0.008218
