               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.11657,             0.12216,          3.5545e-08,             0.19331,             0.23402,             0.12644,            0.037356,             0.10797,             0.16877,          3.9159e-08,            0.009043,            0.009043,            0.009043
                  60,             0.11332,              0.1197,          3.6023e-08,             0.20476,             0.24488,             0.13755,            0.039308,             0.10698,             0.15982,          3.6811e-08,           0.0090265,           0.0090265,           0.0090265
                  61,             0.11242,             0.11408,          3.5511e-08,             0.20476,             0.24488,             0.13755,            0.039308,             0.10698,             0.15982,          3.6811e-08,             0.00901,             0.00901,             0.00901
                  62,             0.11213,             0.10557,           3.575e-08,             0.19758,             0.23903,             0.13251,            0.038871,              0.1066,             0.16286,          3.7665e-08,           0.0089935,           0.0089935,           0.0089935
                  63,             0.11451,             0.11828,          3.5043e-08,             0.19758,             0.23903,             0.13251,            0.038871,              0.1066,             0.16286,          3.7665e-08,            0.008977,            0.008977,            0.008977
                  64,             0.11365,             0.12913,          3.5613e-08,             0.19469,             0.23694,             0.13068,            0.037321,             0.10658,             0.16921,          3.8768e-08,           0.0089605,           0.0089605,           0.0089605
                  65,             0.10795,             0.11681,          3.6458e-08,             0.19469,             0.23694,             0.13068,            0.037321,             0.10658,             0.16921,          3.8768e-08,            0.008944,            0.008944,            0.008944
                  66,             0.11388,             0.13098,          3.5443e-08,             0.18994,             0.23025,             0.12533,            0.035533,             0.10665,             0.17985,           3.992e-08,           0.0089275,           0.0089275,           0.0089275
                  67,             0.10564,             0.10868,          3.7158e-08,             0.18994,             0.23025,             0.12533,            0.035533,             0.10665,             0.17985,           3.992e-08,            0.008911,            0.008911,            0.008911
                  68,             0.11584,             0.11221,           3.611e-08,             0.20094,             0.24321,             0.13619,            0.039595,             0.10587,              0.1639,          3.7698e-08,           0.0088945,           0.0088945,           0.0088945
                  69,             0.11668,             0.13649,           3.543e-08,             0.20094,             0.24321,             0.13619,            0.039595,             0.10587,              0.1639,          3.7698e-08,            0.008878,            0.008878,            0.008878
                  70,             0.11091,             0.11684,          3.6279e-08,             0.19835,             0.24279,             0.13545,            0.039239,             0.10585,             0.16493,          3.8169e-08,           0.0088615,           0.0088615,           0.0088615
                  71,              0.1153,             0.11309,          3.6056e-08,             0.19835,             0.24279,             0.13545,            0.039239,             0.10585,             0.16493,          3.8169e-08,            0.008845,            0.008845,            0.008845
                  72,             0.11251,             0.12525,          3.6221e-08,             0.20125,             0.24237,             0.13737,            0.040921,             0.10623,             0.16831,          3.8723e-08,           0.0088285,           0.0088285,           0.0088285
                  73,             0.11415,              0.1145,          3.6198e-08,             0.20125,             0.24237,             0.13737,            0.040921,             0.10623,             0.16831,          3.8723e-08,            0.008812,            0.008812,            0.008812
                  74,             0.11508,             0.11652,          3.6165e-08,             0.20046,              0.2407,             0.13728,            0.040836,             0.10657,             0.16365,          3.8272e-08,           0.0087955,           0.0087955,           0.0087955
                  75,             0.11493,             0.11362,          3.6189e-08,             0.20046,              0.2407,             0.13728,            0.040836,             0.10657,             0.16365,          3.8272e-08,            0.008779,            0.008779,            0.008779
                  76,             0.11368,             0.10542,           3.645e-08,             0.20464,             0.24483,             0.13989,            0.041188,             0.10716,             0.15809,          3.6048e-08,           0.0087625,           0.0087625,           0.0087625
                  77,             0.11402,             0.13334,          3.5323e-08,             0.20464,             0.24483,             0.13989,            0.041188,             0.10716,             0.15809,          3.6048e-08,            0.008746,            0.008746,            0.008746
                  78,             0.11564,             0.12853,          3.5482e-08,             0.20515,              0.2453,             0.13638,            0.039395,             0.10667,             0.15804,          3.7343e-08,           0.0087295,           0.0087295,           0.0087295
                  79,             0.11076,             0.10572,          3.6221e-08,             0.20515,              0.2453,             0.13638,            0.039395,             0.10667,             0.15804,          3.7343e-08,            0.008713,            0.008713,            0.008713
                  80,             0.11015,             0.10895,          3.6542e-08,             0.21443,             0.25825,             0.14814,            0.042597,             0.10518,             0.16194,          3.9078e-08,           0.0086965,           0.0086965,           0.0086965
                  81,             0.11236,             0.12317,          3.6299e-08,             0.21443,             0.25825,             0.14814,            0.042597,             0.10518,             0.16194,          3.9078e-08,             0.00868,             0.00868,             0.00868
                  82,              0.1098,             0.12426,          3.6894e-08,             0.22606,             0.25909,             0.15723,            0.047146,              0.1046,             0.16397,          3.9757e-08,           0.0086635,           0.0086635,           0.0086635
                  83,             0.11348,             0.11806,          3.6943e-08,             0.22606,             0.25909,             0.15723,            0.047146,              0.1046,             0.16397,          3.9757e-08,            0.008647,            0.008647,            0.008647
                  84,             0.11137,             0.13167,          3.6421e-08,             0.24781,             0.25442,             0.16964,            0.049388,             0.10426,              0.1679,          4.0782e-08,           0.0086305,           0.0086305,           0.0086305
                  85,             0.11056,             0.10765,          3.7798e-08,             0.24781,             0.25442,             0.16964,            0.049388,             0.10426,              0.1679,          4.0782e-08,            0.008614,            0.008614,            0.008614
                  86,             0.11058,             0.12494,          3.7394e-08,             0.25125,             0.26912,              0.1782,            0.050373,             0.10415,             0.17038,          4.1106e-08,           0.0085975,           0.0085975,           0.0085975
                  87,             0.11081,             0.11832,          3.7722e-08,             0.25125,             0.26912,              0.1782,            0.050373,             0.10415,             0.17038,          4.1106e-08,            0.008581,            0.008581,            0.008581
                  88,             0.11396,             0.12991,          3.7809e-08,             0.23531,              0.2733,             0.17051,            0.050337,              0.1043,             0.17096,          4.0954e-08,           0.0085645,           0.0085645,           0.0085645
                  89,             0.11122,             0.11838,          3.8671e-08,             0.23531,              0.2733,             0.17051,            0.050337,              0.1043,             0.17096,          4.0954e-08,            0.008548,            0.008548,            0.008548
                  90,             0.10827,              0.1179,          3.8528e-08,             0.24042,             0.28124,             0.17594,            0.051694,             0.10378,             0.16259,           3.934e-08,           0.0085315,           0.0085315,           0.0085315
                  91,             0.11301,             0.13254,          3.7309e-08,             0.24042,             0.28124,             0.17594,            0.051694,             0.10378,             0.16259,           3.934e-08,            0.008515,            0.008515,            0.008515
                  92,             0.11016,             0.11478,          3.8058e-08,             0.23743,             0.25825,             0.16288,            0.050014,             0.10415,             0.15976,          3.8285e-08,           0.0084985,           0.0084985,           0.0084985
                  93,             0.11083,             0.12858,           3.754e-08,             0.23743,             0.25825,             0.16288,            0.050014,             0.10415,             0.15976,          3.8285e-08,            0.008482,            0.008482,            0.008482
                  94,             0.11131,             0.11969,           3.729e-08,             0.23785,             0.26661,              0.1667,            0.052024,             0.10364,             0.16052,          3.7618e-08,           0.0084655,           0.0084655,           0.0084655
                  95,             0.11141,              0.1291,          3.6664e-08,             0.23785,             0.26661,              0.1667,            0.052024,             0.10364,             0.16052,          3.7618e-08,            0.008449,            0.008449,            0.008449
                  96,             0.11201,             0.13361,          3.6727e-08,             0.23016,             0.27246,             0.16439,            0.051713,              0.1033,             0.16167,          3.8408e-08,           0.0084325,           0.0084325,           0.0084325
                  97,             0.10766,             0.12482,          3.7594e-08,             0.23016,             0.27246,             0.16439,            0.051713,              0.1033,             0.16167,          3.8408e-08,            0.008416,            0.008416,            0.008416
                  98,             0.11054,             0.11266,          3.7556e-08,             0.23655,             0.27706,             0.16767,            0.052457,             0.10317,             0.16176,          3.7728e-08,           0.0083995,           0.0083995,           0.0083995
                  99,             0.10871,             0.11935,          3.7311e-08,             0.23655,             0.27706,             0.16767,            0.052457,             0.10317,             0.16176,          3.7728e-08,            0.008383,            0.008383,            0.008383
                 100,             0.10867,            0.097391,          3.7891e-08,             0.24336,             0.27831,             0.17627,            0.055378,              0.1026,             0.16383,          3.7261e-08,           0.0083665,           0.0083665,           0.0083665
